"site","year","sample_id","nest_id","lat","long"
"AlleyNorth","2021",145,2985,26.1980000636215,-80.5271365275363
"AlleyNorth","2021",146,39117,26.1955580945368,-80.528969291317
"AlleyNorth","2021",147,42821,26.1984968239507,-80.5276540286397
"AlleyNorth","2021",148,38110,26.1956421054175,-80.529199395918
"AlleyNorth","2021",149,41727,26.199009242162,-80.5278740048126
"AlleyNorth","2021",150,42387,26.1976288849177,-80.5278002855022
"AlleyNorth","2021",151,39922,26.1965753170923,-80.5286058978114
"AlleyNorth","2021",152,39422,26.1967447692632,-80.5287809155829
"AlleyNorth","2021",153,38391,26.1970839516106,-80.529126442228
"AlleyNorth","2021",154,38956,26.1968095182123,-80.5289919579519
"AlleyNorth","2021",155,37884,26.1968184205064,-80.5292649522921
"CypressCity","2020",156,1698,26.1235995320196,-80.5038689768463
"CypressCity","2020",157,7869,26.1236384486576,-80.5043597749016
"CypressCity","2020",158,57244,26.1233998297695,-80.5041373596904
"CypressCity","2020",159,57083,26.1241697816365,-80.5043438959867
"CypressCity","2020",160,1399,26.1239462368583,-80.504246927857
"CypressCity","2020",161,1465,26.1243034493874,-80.5041715654312
"CypressCity","2020",162,1441,26.1229661257495,-80.504285394429
"CypressCity","2020",163,1514,26.1237460597638,-80.5041917425421
"CypressCity","2020",164,1350,26.1232447801392,-80.5044196506438
"CypressCity","2020",165,1340,26.1235893108705,-80.5043901624672
"CypressCity","2020",166,1499,26.1240026735751,-80.5041500619676
"CypressCity","2020",167,1478,26.1241914836428,-80.5041685425124
"CypressCity","2020",168,1509,26.1238008171577,-80.5041486153894
"CypressCity","2020",169,1481,26.1241738513018,-80.5041523470727
"CypressCity","2020",170,1486,26.1241858148051,-80.5041379286581
"CypressCity","2020",171,60669,26.1242586156711,-80.5041589912118
"CypressCity","2020",172,8251,26.1236660142018,-80.5036117706474
"CypressCity","2020",173,8173,26.124134034651,-80.5038150155969
"CypressCity","2020",174,8247,26.1238610975487,-80.5036405863637
"CypressCity","2020",175,57341,26.1240988617153,-80.5037711807475
"CypressCity","2020",176,8123,26.1239241937166,-80.5038928150103
"CypressCity","2020",177,1368,26.1242354580924,-80.5043250882356
"CypressCity","2020",178,7983,26.1229321155402,-80.5042032100997
"CypressCity","2020",179,7971,26.1232646704347,-80.5042332458357
"CypressCity","2020",180,1683,26.1239518646497,-80.5038336024543
"CypressCity","2020",181,1383,26.1240951904635,-80.5043197394208
"CypressCity","2020",182,1323,26.1240359788812,-80.5043927829469
"CypressCity","2020",183,1297,26.1243045273686,-80.504459188615
"CypressCity","2020",184,1374,26.1241212725595,-80.5043583296559
"CypressCity","2020",185,1384,26.124080724941,-80.5043444046447
"CypressCity","2020",186,1387,26.1240864620917,-80.5043515180196
"CypressCity","2020",187,7832,26.124108850067,-80.504357089759
"CypressCity","2020",188,1386,26.1240842173936,-80.5043358653777
"CypressCity","2020",189,1385,26.1240922363293,-80.5043472583662
"CypressCity","2021",190,35172,26.1243289337617,-80.5040614315532
"CypressCity","2021",191,61399,26.1236655104187,-80.5039502745089
"CypressCity","2021",192,49656,26.1243015828886,-80.5042593197225
"CypressCity","2021",193,7519,26.1232524005173,-80.5038686016164
"CypressCity","2021",194,7420,26.123987587344,-80.5041843466499
"CypressCity","2021",195,35114,26.1240093210629,-80.5042334415485
"CypressCity","2021",196,7415,26.1243881260341,-80.5041044527118
"CypressCity","2021",197,7375,26.1239367359803,-80.5042450882964
"CypressCity","2021",198,49692,26.1244297018143,-80.5041624803047
"CypressCity","2021",199,7377,26.123861422631,-80.504247463445
"CypressCity","2021",200,49672,26.1239482736837,-80.504269398121
"CypressCity","2021",201,49804,26.1232559158166,-80.5037845741032
"CypressCity","2021",202,35117,26.123889960609,-80.504265926822
"CypressCity","2021",203,49759,26.1237879181824,-80.503831672653
"CypressCity","2021",204,119537,26.1238453896628,-80.5042436184666
"Jerrod","2020",205,2040,26.003593328705,-80.5964912698784
"Jerrod","2020",206,1997,26.0029268246341,-80.5967106118367
"Jerrod","2020",207,1926,26.0037997810056,-80.5965918226007
"Jerrod","2020",208,1952,26.0035037740241,-80.5966544879648
"Jerrod","2020",209,1984,26.0031917643858,-80.5966543582849
"Jerrod","2020",210,2058,26.0033067494905,-80.5964934143884
"Jerrod","2020",211,2063,26.0031880783344,-80.5964525728502
"Jerrod","2020",212,2122,26.0030527979167,-80.5960494984109
"Jerrod","2020",213,1859,26.0037458631449,-80.5967744442728
"Jerrod","2020",214,1823,26.0040006078686,-80.5969151156868
"Jerrod","2020",215,1842,26.0044560736488,-80.5967391097072
"Jerrod","2020",216,1828,26.0036056208135,-80.596928794237
"Jerrod","2020",217,1824,26.0037997378826,-80.5970354515644
"Jerrod","2020",218,1825,26.0038411054047,-80.5969500587276
"Jerrod","2020",219,1819,26.0040686904464,-80.5971046039413
"Jerrod","2020",220,1855,26.0037186467032,-80.5967727991346
"Jerrod","2020",221,1829,26.0035947265924,-80.5969246681865
"Jerrod","2020",222,1836,26.0031524711829,-80.5969203372296
"Jerrod","2020",223,1822,26.0042528801092,-80.5969780214941
"Jerrod","2020",224,1853,26.0039501704024,-80.5968006264855
"Jerrod","2020",225,1921,26.0037406942109,-80.5966291157149
"Jerrod","2020",226,15658,26.0025506028708,-80.5955598489042
"Jerrod","2021",227,15238,26.0040337120309,-80.596855071415
"Jerrod","2021",228,11781,26.0031548798746,-80.5964654787838
"Jerrod","2021",229,15313,26.0037325088994,-80.5966291794223
"Jerrod","2021",230,11564,26.0045794322436,-80.5969366524978
"Jerrod","2021",231,11568,26.0040596621938,-80.596903759236
"Jerrod","2021",232,15296,26.0032662245164,-80.5967268157004
"Jerrod","2021",233,11802,26.0028402562734,-80.5964566140651
"Jerrod","2021",234,11605,26.0031204024963,-80.5968959319951
"Jerrod","2021",235,11752,26.0037875978764,-80.5964028885125
"Jerrod","2021",236,11589,26.0040595939459,-80.5969017225875
"Jerrod","2021",237,11600,26.0032869921896,-80.596868837092
"Jerrod","2021",238,11615,26.0027283366381,-80.5968259785391
"Jerrod","2021",239,11630,26.0044107455561,-80.5966650747394
"Jerrod","2021",240,11652,26.0034136968379,-80.5966978644073
"Jerrod","2021",241,11657,26.0033286736222,-80.596740411365
"Jerrod","2021",242,11631,26.0043731199268,-80.5966873903251
"Jerrod","2021",243,11664,26.0029693211585,-80.5967516151237
"Jerrod","2021",244,11611,26.0028243297804,-80.5968354275758
"Jerrod","2021",245,11627,26.0044499764524,-80.5966779120862
"Jerrod","2021",246,11572,26.0029810356433,-80.5969784722232
"Jerrod","2021",247,34267,26.0034087259734,-80.5964607497945
"Jerrod","2021",248,34244,26.0033781068855,-80.5965986474501
"Jerrod","2021",249,16362,26.0033779820904,-80.5963144498832
"Jerrod","2021",250,51187,26.0049914923613,-80.5967960322772
"Jerrod","2021",251,195202,26.004987833735,-80.5967925607211
"Jerrod","2021",252,15288,26.0033564274491,-80.5966693415718
"JetportSouth","2020",253,8573,25.8045362941119,-80.8492572983663
"JetportSouth","2020",254,8522,25.8051235964235,-80.8492083757967
"JetportSouth","2020",255,8527,25.8050416865534,-80.8492092322263
"JetportSouth","2020",256,8549,25.804770577418,-80.8492023745669
"JetportSouth","2020",257,8545,25.8048321224699,-80.8491955377839
"JetportSouth","2020",258,8585,25.8042980243415,-80.8492866660875
"JetportSouth","2020",259,8552,25.8046342947193,-80.8492899590461
"JetportSouth","2020",260,8577,25.804395784178,-80.8492639568773
"JetportSouth","2020",261,8535,25.8048781707217,-80.8492135906684
"JetportSouth","2020",262,8524,25.8051291571679,-80.8492033659536
"JetportSouth","2020",263,8742,25.8047395405616,-80.8489824965803
"JetportSouth","2020",264,8821,25.8047856152509,-80.8488645394947
"JetportSouth","2020",265,8661,25.8048045055321,-80.8491121124522
"JetportSouth","2020",266,8428,25.8042338367081,-80.8495049710561
"JetportSouth","2020",267,8477,25.8042444786236,-80.8493774121367
"JetportSouth","2020",268,8473,25.8042526521324,-80.8493786852611
"JetportSouth","2020",269,8484,25.8042369640565,-80.8493989076117
"JetportSouth","2020",270,8561,25.8045432894397,-80.8492494224913
"JetportSouth","2020",271,8424,25.8042424233137,-80.8494912025156
"JetportSouth","2020",272,8429,25.8042264315785,-80.8494979520134
"JetportSouth","2020",273,8481,25.8042452358241,-80.8493676100446
"JetportSouth","2020",274,8426,25.804226486326,-80.8495080142045
"JetportSouth","2020",275,8560,25.8044911768945,-80.8492515177431
"JetportSouth","2021",276,62,25.8044964724657,-80.8500855949817
"JetportSouth","2021",277,56514,25.800923894992,-80.8472096170001
"JetportSouth","2021",278,675,25.8029544611516,-80.8486883244047
"JetportSouth","2021",279,1071,25.8043342890542,-80.8477252947412
"JetportSouth","2021",280,15,25.8040187731721,-80.8504918545315
"JetportSouth","2021",281,13615,25.802508512168,-80.8480645265116
"JetportSouth","2021",282,13437,25.8019165176291,-80.8484377888596
"JetportSouth","2021",283,80,25.8048297364016,-80.8499649859891
"JetportSouth","2021",284,579,25.8026969722804,-80.8489887159781
"JetportSouth","2021",285,489,25.8049765859983,-80.8490622126213
"JetportSouth","2021",286,198,25.8042810432217,-80.8494093483011
"JetportSouth","2021",287,187,25.8044842213241,-80.8493993685
"JetportSouth","2021",288,185,25.8044272904816,-80.8493846721697
"JetportSouth","2021",289,23,25.8038504703499,-80.8504889995006
"JetportSouth","2021",290,194,25.8042949850826,-80.8494629369569
"JetportSouth","2021",291,202,25.8042821739492,-80.8493618716652
"JetportSouth","2021",292,73,25.8042394473439,-80.850087993083
"JetportSouth","2021",293,189,25.8044463010005,-80.849389127427
"JetportSouth","2021",294,188,25.8044855112914,-80.8493628191913
"JetportSouth","2021",295,184,25.8045210018993,-80.8493562643116
"JetportSouth","2021",296,13878,25.8017920710597,-80.8476273722083
"JetportSouth","2021",297,12495,25.8043117699115,-80.8491508231586
"JetportSouth","2021",298,12803,25.8047455998244,-80.8489877674743
"JetportSouth","2021",299,12294,25.8008148328437,-80.849432316482
"JetportSouth","2021",300,13279,25.8028619252991,-80.8485228668041
"JetportSouth","2021",301,950,25.8021621329003,-80.8480611373175
"JetportSouth","2021",302,12360,25.8041783815,-80.8493994667331
"JetportSouth","2021",303,527,25.8046039350471,-80.8490463952607
"JetportSouth","2021",304,12802,25.8047489874959,-80.8489885885558
"JetportSouth","2021",305,246,25.8046949542383,-80.8492573524651
"JetportSouth","2021",306,1204,25.804017555001,-80.8474586727344
"JetportSouth","2021",307,95685,25.8043129913394,-80.8478397386143
"JetportSouth","2021",308,55916,25.8032209088978,-80.8478352794314
"JetportSouth","2021",309,722,25.8029725596901,-80.8485970623839
"JetportSouth","2021",310,55855,25.8026302891007,-80.8479669672518
"JetportSouth","2021",311,52847,25.8053146211918,-80.8482649648752
